,EVSE ID,energia_totale_kwh,ricavi_totali,costo_stimato,indirizzo_stazione
416,IT*F2X*EF2XITMXPC51*2,446.335,245.49,111.58375,Malpensa Aeroporto
417,IT*F2X*EF2XITMXPC51*3,1621.6490000000001,729.58,405.41225000000003,Malpensa Aeroporto
418,IT*F2X*EF2XITMXPP01*1,4176.382,2839.98,1044.0955,Aeroporto Milano Malpensa PRIME
419,IT*F2X*EF2XITMXPP01*2,1726.831,1174.28,431.70775,Aeroporto Milano Malpensa PRIME
420,IT*F2X*EF2XITMXPP51*1,127.128,57.21,31.782,Aeroporto Milano Malpensa PRIME
421,IT*F2X*EF2XITMXPP51*2,88.099,39.64,22.02475,Aeroporto Milano Malpensa PRIME
422,IT*F2X*EF2XITN0501*1,39938.028,27157.79,9984.507,A14 - Autostrada Adriatica
423,IT*F2X*EF2XITN0501*2,32582.128,22155.78,8145.532,A14 - Autostrada Adriatica
424,IT*F2X*EF2XITN0502*1,27338.32,18552.72,6834.58,A14 - Autostrada Adriatica
425,IT*F2X*EF2XITN0502*2,21515.404,14630.5,5378.851,A14 - Autostrada Adriatica
426,IT*F2X*EF2XITN0551*1,3082.1730000000002,1695.17,770.5432500000001,A14 - Autostrada Adriatica
427,IT*F2X*EF2XITN0551*2,543.565,294.49,135.89125,A14 - Autostrada Adriatica
428,IT*F2X*EF2XITN0551*3,772.335,347.4,193.08375,A14 - Autostrada Adriatica
429,IT*F2X*EF2XITN0601*1,30518.772,20752.62,7629.693,Autostrada Adriatica
430,IT*F2X*EF2XITN0601*2,28682.588,19504.04,7170.647,Autostrada Adriatica
431,IT*F2X*EF2XITN0602*1,40791.58,27738.25,10197.895,Autostrada Adriatica
432,IT*F2X*EF2XITN0602*2,37050.996,25194.65,9262.749,Autostrada Adriatica
433,IT*F2X*EF2XITN0651*1,2248.987,1236.92,562.24675,Autostrada Adriatica
434,IT*F2X*EF2XITN0651*2,510.696,274.26,127.674,Autostrada Adriatica
435,IT*F2X*EF2XITN0651*3,918.128,413.08,229.532,Autostrada Adriatica
436,IT*F2X*EF2XITN1001*1,31617.945,21500.27,7904.48625,A14 - Autostrada Adriatica
437,IT*F2X*EF2XITN1001*2,29999.991,20399.91,7499.99775,A14 - Autostrada Adriatica
438,IT*F2X*EF2XITN1002*1,38229.288,25995.93,9557.322,A14 - Autostrada Adriatica
439,IT*F2X*EF2XITN1002*2,26430.327,17972.64,6607.58175,A14 - Autostrada Adriatica
440,IT*F2X*EF2XITN1051*1,3622.6259999999997,1966.74,905.6564999999999,A14 - Autostrada Adriatica
441,IT*F2X*EF2XITN1051*2,737.112,401.91,184.278,A14 - Autostrada Adriatica
442,IT*F2X*EF2XITN1051*3,939.564,422.73,234.891,A14 - Autostrada Adriatica
443,IT*F2X*EF2XITN1101*1,19590.531,13321.48,4897.63275,A14 - Autostrada Adriatica
444,IT*F2X*EF2XITN1101*2,33398.562,22711.05,8349.6405,A14 - Autostrada Adriatica
445,IT*F2X*EF2XITN1102*1,47609.699,32374.65,11902.42475,A14 - Autostrada Adriatica
446,IT*F2X*EF2XITN1102*2,26827.643,18242.45,6706.91075,A14 - Autostrada Adriatica
447,IT*F2X*EF2XITN1151*1,5455.134,3000.25,1363.7835,A14 - Autostrada Adriatica
448,IT*F2X*EF2XITN1151*2,557.261,302.77,139.31525,A14 - Autostrada Adriatica
449,IT*F2X*EF2XITN1151*3,1058.941,476.31,264.73525,A14 - Autostrada Adriatica
450,IT*F2X*EF2XITN3001*1,34757.977,23618.829999999998,8689.49425,A14 - Autostrada Adriatica
451,IT*F2X*EF2XITN3001*2,27372.221,18580.26,6843.05525,A14 - Autostrada Adriatica
452,IT*F2X*EF2XITN3002*1,30740.917,20903.76,7685.22925,A14 - Autostrada Adriatica
453,IT*F2X*EF2XITN3002*2,27931.976,18993.64,6982.994,A14 - Autostrada Adriatica
454,IT*F2X*EF2XITN3051*1,1636.3899999999999,899.99,409.09749999999997,A14 - Autostrada Adriatica
455,IT*F2X*EF2XITN3051*2,935.782,514.66,233.9455,A14 - Autostrada Adriatica
