EVSE ID,indirizzo_stazione,energia_erogata_kwh,ricavi_totali,costo_stimato,Numero_di_sessioni,within_1km_x,Plug Type,index,connector_evse_id,station_address,station_coordinates_lat,station_coordinates_lon,connector_isSuspended,latitude,longitude,restaurant,fuel,parking,atm,bank,hospital,pub,fast_food,townhall,nightclub,car_wash,conference_centre,payment_terminal,training,school,bus_station,pharmacy,supermarket,post_office,within_1km_y
IT*F2X*EF2XITA3751,A1 var. - Variante di Valico,3287.785,1748.4375280840359,821.94625,243.0,,,564.0,IT*F2X*EF2XITA3751,A1 var. - Variante di Valico,44.151305,11.193514,0.0,44.151305,11.193514,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA5501,Sesto Fiorentino,63395.81,43108.039059909315,15848.9525,2033.0,,,2919.0,IT*F2X*EF2XITA5501,Sesto Fiorentino,43.831844,11.160295,0.0,43.831844,11.160295,0.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA5502,Sesto Fiorentino,73299.058,49842.833552051,18324.7645,2240.0,,,2909.0,IT*F2X*EF2XITA5502,Sesto Fiorentino,43.831821,11.16024,0.0,43.831821,11.16024,0.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,5169.0,IT*F2X*EF2XITA5503,Sesto Fiorentino,43.831805,11.160038,0.0,43.831805,11.160038,0.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,5179.0,IT*F2X*EF2XITA5504,Sesto Fiorentino,43.831807,11.159944,0.0,43.831807,11.159944,0.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA5551,Sesto Fiorentino,2995.793,1647.728874644025,748.94825,195.0,,,4545.0,IT*F2X*EF2XITA5551,Sesto Fiorentino,43.831825,11.160121,0.0,43.831825,11.160121,0.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA6601,A1 - Autostrada del Sole,75738.224,51501.20113257275,18934.556,2222.0,,,3403.0,IT*F2X*EF2XITA6601,A1 - Autostrada del Sole,43.65052,11.46442,0.0,43.65052,11.46442,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA6602,A1 - Autostrada del Sole,65722.654,44691.32,16430.6635,1845.0,,,3401.0,IT*F2X*EF2XITA6602,A1 - Autostrada del Sole,43.65052,11.46448,0.0,43.65052,11.46448,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,4961.0,IT*F2X*EF2XITA6603,A1 - Autostrada del Sole,43.650588,11.464456,0.0,43.650588,11.464456,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,4963.0,IT*F2X*EF2XITA6604,A1 - Autostrada del Sole,43.650582,11.464407,0.0,43.650582,11.464407,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
