Tratta,Strada,Km,Comune,Pr,Consistenza gg,Leggeri,Pesanti
50015,SS12,221.783,Mirandola,MO,265.0,9004,616
10013,SS699,14.576,Roccasecca dei Volsci,LT,360.0,9004,353
15105,A2,164.454,Mormanno,CS,360.0,8983,2113
50023,SS309,22.399,Comacchio,FE,347.0,8973,3170
2237,SS26,43.75,Settimo Vittone,TO,357.0,8961,127
3459,SS67,56.523,Montelupo Fiorentino,FI,359.0,8915,20
19083,A19,80.057,Resuttano,CL,359.0,8875,1252
102,SS7,111.845,Monte San Biagio,LT,360.0,8793,250
16005,SS172,26.843,Castellana Grotte,BA,360.0,8788,257
411012,SS77DIR,0.0,Macerata,MC,332.0,8767,125
920039,SS52BIS,7.62,Arta Terme,UD,358.0,8701,101
4,SS1,45.038,Cerveteri,RM,360.0,8698,106
400,SS33,66.989,Meina,NO,266.0,8626,133
10032,SS33,126.759,Masera,VB,348.0,8606,349
999,SS172,12.844,Turi,BA,360.0,8579,203
3431,SS652,75.415,Mozzagrogna,CH,360.0,8557,1354
871,SS126,1.493,Sant'Antioco,SU,360.0,8554,115
19024,A29,70.251,Gibellina,TP,151.0,8523,455
316,SS18,482.107,Palmi,RC,360.0,8508,102
412046,SS7,78.254,Pontinia,LT,360.0,8480,444
3422,SS18,355.143,Nocera Terinese,CZ,360.0,8474,292
575,SS73,136.918,Arezzo,AR,355.0,8450,211
16018,SS7,623.643,Palagiano,TA,359.0,8385,194
233,SS16,65.223,Occhiobello,RO,295.0,8326,491
19114,SS194,22.108,Lentini,SR,157.0,8270,763
411019,SS77VAR,18.06,Serravalle di Chienti,MC,360.0,8236,784
50047,SS67,185.835,Forlì,FC,347.0,8229,163
15023,SS19,64.044,Atena Lucana,SA,360.0,8213,257
19115,SS114,106.167,Catania,CT,360.0,8207,694
19068,SS640,30.787,Canicattì,AG,360.0,8173,520
409110,SS65,13.546,Vaglia,FI,344.0,8124,74
10038,SS38,79.768,Grosio,SO,360.0,8115,321
66,SS4,86.027,Cittaducale,RI,349.0,8106,278
18010,SS283,35.622,San Marco Argentano,CS,360.0,8097,288
219,SS14,47.222,Ceggia,VE,193.0,7952,624
2216,SS231,57.208,Fossano,CN,360.0,7931,292
663,SS90,4.05,Mirabella Eclano,AV,360.0,7922,138
289,SS17,197.995,Cantalupo nel Sannio,IS,282.0,7914,579
492,SS51,96.419,Cortina d'Ampezzo,BL,281.0,7894,217
409166,SS439,40.882,Capannori,LU,356.0,7883,96
18022,SS106,319.626,Crosia,CS,360.0,7858,383
411025,SS362,5.267,Jesi,AN,358.0,7778,196
1387,SS337,15.019,Santa Maria Maggiore,VB,306.0,7772,16
838,SS118,143.205,Agrigento,AG,359.0,7735,119
19048,SS115,197.511,Favara,AG,353.0,7709,277
900014,SS107,129.666,Crotone,KR,363.0,7654,150
15002,SS7,161.173,Sessa Aurunca,CE,360.0,7653,325
50044,SS64,126.316,Malalbergo,BO,341.0,7556,322
2404,SS50BIS-VAR,3.781,Arsiè,BL,204.0,7551,707
3396,SS682,26.602,Mammola,RC,356.0,7513,284
812,SS115,88.168,Menfi,AG,306.0,7480,356
10017,SS79BIS,27.813,Terni,TR,173.0,7448,480
547,SS67,111.914,Rufina,FI,355.0,7438,103
19029,A29,89.362,Castelvetrano,TP,156.0,7410,389
19137,SS115,301.79,Vittoria,RG,360.0,7410,108
3521,SS7,298.104,Pratola Serra,AV,347.0,7402,151
